Component|Description|Package
Data Map | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_data_map/README.md | `canvas_data_map <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_data_map>`__
List | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_list/README.md | `canvas_list <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_list>`__ 
Scatterplot | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_scatterplot/README.md | `canvas_scatterplot <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_scatterplot>`__
Summary | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_summary/README.md | `canvas_summary <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_summary>`__
Duplicates | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_duplicates/README.md | `canvas_duplicates <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_duplicates>`__
Familiarity | .. mdinclude:: ../../src/deepview_canvas/widgets/canvas_familiarity/README.md | `canvas_familiarity <https://github.com/satishlokkoju/deepview/tree/main/src/deepview_canvas/widgets/canvas_familiarity>`__
